"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C7,C8";"Custom:C1V5-LARGE_PADS";3;"1u";;;
2;"C2";"Custom:C2-LARGE_PADS";1;"1.8n";;;
3;"C3";"Custom:C2-LARGE_PADS";1;"120p";;;
4;"C4";"Custom:C2-LARGE_PADS";1;"500p";;;
5;"C5";"Custom:C2-LARGE_PADS";1;"47n";;;
6;"C6,C9";"Custom:C1V5-LARGE_PADS";2;"10u";;;
7;"R1,R2";"Custom:R3-LARGE_PADS";2;"220K";;;
8;"R3,R5,R6";"Custom:R3-LARGE_PADS";3;"2.2Meg";;;
9;"R4";"Custom:R3-LARGE_PADS";1;"10K";;;
10;"U1";"Custom:DIP-8_LARGE_PADS";1;"LM4250";;;
11;"P1";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"in";;;
12;"P2";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"rv1.1";;;
13;"P3";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"rv1.2";;;
14;"P4";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"rv1.3";;;
15;"P5";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"rv2.3";;;
16;"P6";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"rv2.2";;;
17;"P7";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"out";;;
18;"P8";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"+9V";;;
19;"P9";"Wire_Pads:SolderWirePad_single_0-8mmDrill";1;"Gnd";;;
